"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ELHWQPHB","journalArticle","2026","de Vries-Gao, Alex","The carbon and water footprints of data centers and what this could mean for artificial intelligence","Patterns","","2666-3899","10.1016/j.patter.2025.101430","https://www.sciencedirect.com/science/article/pii/S2666389925002788","Although there are ways to estimate the global power demand of artificial intelligence (AI) systems, it remains challenging to quantify the associated carbon and water footprints. The lack of distinction between AI and non-AI workloads in the environmental reports of data center operators makes it possible to assess the environmental impact of AI workloads only by approximating them through data centers’ general performance metrics. The environmental disclosure of tech companies is, however, often insufficient to determine even the total data center performance of these companies. The shortcomings in the environmental disclosure of data center operators could be remedied with new policies mandating the disclosure of additional metrics. Because the environmental impact of data centers is growing rapidly, the urgency of transparency in the tech sector is also increasing. The carbon footprint of AI systems alone could be between 32.6 and 79.7 million tons of CO2 emissions in 2025, while the water footprint could reach 312.5–764.6 billion L.","2026-01-09","2026-03-07 16:34:34","2026-03-07 16:34:34","2026-03-07 16:34:34","101430","","1","7","","Patterns","","","","","","","","","","","","","ScienceDirect","","","","/Users/szymon/Zotero/storage/3KVY3TQL/de Vries-Gao - 2026 - The carbon and water footprints of data centers and what this could mean for artificial intelligence.pdf; /Users/szymon/Zotero/storage/I5VCJUEP/S2666389925002788.html","","","artificial intelligence; carbon footprint; water footprint","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7VA3WY78","journalArticle","2024","Yadav, Alok; Garg, Rajiv Kumar; Sachdeva, Anish","Artificial intelligence applications for information management in sustainable supply chain management: A systematic review and future research agenda","International Journal of Information Management Data Insights","","2667-0968","10.1016/j.jjimei.2024.100292","https://www.sciencedirect.com/science/article/pii/S2667096824000818","In a Sustainable Supply Chain (SSC) context, information management offers a unique perspective on the digital economy and information management. Artificial intelligence (AI) is developing into a more robust digital field to facilitate quick information access and intelligent decisions in expanding commercial contexts. These days, Supply Chains (SC) would crumble without robust information systems. Applying AI and information management is crucial in determining the direction of sustainable supply chain management (SSCM). A systematic literature review (SLR) of the use of AI in SSCM is conducted in this research. The authors can identify crucial factors of the present literature using bibliometric and network analysis. AI is essential to the SSC to address sustainability challenges and manage the large volumes of data produced by numerous industrial processes. In the corpus of research that is already accessible, there is currently no comprehensive and bibliometric analysis of the potential for AI techniques for information management in SSC. Scientific publications were analysed from an objective point of view. Based on our results, we have drafted a proposal for an AI supply chain framework. Researchers, policymakers, and SCM practitioners may all benefit from the approach. This study is the first to analyse AI applications for information management in SSCM. In consideration of this, organizations are now exploring AI capabilities to improve operational efficiency and innovate their processes. This will assist industry people in understanding how AI methods support SC processes in their optimization to attain sustainability in SC practices.","2024-11-01","2026-03-07 16:34:46","2026-03-07 16:34:46","2026-03-07 16:34:46","100292","","2","4","","International Journal of Information Management Data Insights","Artificial intelligence applications for information management in sustainable supply chain management","","","","","","","","","","","","ScienceDirect","","","","/Users/szymon/Zotero/storage/MHC3J6DQ/Yadav et al. - 2024 - Artificial intelligence applications for information management in sustainable supply chain manageme.pdf; /Users/szymon/Zotero/storage/MY6KFX75/S2667096824000818.html","","","Artificial intelligence; Industry 4.0; Information management; Supply chain; Sustainability; Systematic review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2MIRVBPD","journalArticle","2024","Nawaz, Nishad; Arunachalam, Hemalatha; Pathi, Barani Kumari; Gajenderan, Vijayakumar","The adoption of artificial intelligence in human resources management practices","International Journal of Information Management Data Insights","","2667-0968","10.1016/j.jjimei.2023.100208","https://www.sciencedirect.com/science/article/pii/S266709682300054X","This study explores the impact of Artificial Intelligence (AI) on Human Resources Management Practices. By focusing on key outcomes such as accuracy, automation, computing power & capacity, real-time experience, personalization, and time-saving & cost saving. The research aims to identity the potential benefits of AI adoption. Data from 274 IT employees in Chennai City is Collected through a well-structured online questionnaire. Using IBM SPSS version 21 software and AMOS version 21 is used for analysis, the study proposes a novel research framework. The findings indicate that variables like Accuracy, Computing Power & Capacity, and Personalization significantly influence Time-Saving & Cost Reduction, while Automation and Real-Time Experience do not. The novel contribution of this study lies in its exploration of the specific outcomes of utilizing AI Technologies in Human Resources Management Practices. By focusing on key variables such as Accuracy, Automation, Computing Power & Capacity, Real-time experience, Personalization, and Time-Saving & Cost Saving, the research provides a comprehensive understanding of the expected outcomes when implementing AI in Human resources Management and the relationship among those outcome variables.","2024-04-01","2026-03-07 16:34:59","2026-03-07 16:34:59","2026-03-07 16:34:59","100208","","1","4","","International Journal of Information Management Data Insights","","","","","","","","","","","","","ScienceDirect","","","","/Users/szymon/Zotero/storage/25EUMBWZ/Nawaz et al. - 2024 - The adoption of artificial intelligence in human resources management practices.pdf; /Users/szymon/Zotero/storage/HPM5XCMP/S266709682300054X.html","","","Accuracy; Artificial intelligence; Automation; Computing power & capacity; Human resource management practices; Personalization; Real-time experience; Time-saving & cost reduction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2U4IJRXU","journalArticle","2022","Hsu, Yen-Chia; Huang, Ting-Hao ‘Kenneth’; Verma, Himanshu; Mauri, Andrea; Nourbakhsh, Illah; Bozzon, Alessandro","Empowering local communities using artificial intelligence","Patterns","","2666-3899","10.1016/j.patter.2022.100449","https://www.sciencedirect.com/science/article/pii/S2666389922000228","Artificial intelligence (AI) applications can profoundly affect society. Recently, there has been extensive interest in studying how scientists design AI systems for general tasks. However, it remains an open question as to whether the AI systems developed in this way can work as expected in different regional contexts while simultaneously empowering local people. How can scientists co-create AI systems with local communities to address regional concerns? This article contributes new perspectives in this underexplored direction at the intersection of data science, AI, citizen science, and human-computer interaction. Through case studies, we discuss challenges in co-designing AI systems with local people, collecting and explaining community data using AI, and adapting AI systems to long-term social change. We also consolidate insights into bridging AI research and citizen needs, including evaluating the social impact of AI, curating community datasets for AI development, and building AI pipelines to explain data patterns to laypeople.","2022-03-11","2026-03-07 16:36:06","2026-03-07 16:36:06","2026-03-07 16:36:06","100449","","3","3","","Patterns","","","","","","","","","","","","","ScienceDirect","","","","/Users/szymon/Zotero/storage/4KLPHC7M/Hsu et al. - 2022 - Empowering local communities using artificial intelligence.pdf; /Users/szymon/Zotero/storage/JNKU62BZ/S2666389922000228.html","","","applied research; artificial intelligence; community citizen science; community empowerment; human-computer interaction; social impact; sustainability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KSJR2BS9","journalArticle","2024","Stallings, L.; Bhat, P.; Jacobs, J.; Lynch, K.; Risch, Q.","How artificial intelligence can enable data classification for market sizing - Insights from applications in practice","International Journal of Information Management Data Insights","","2667-0968","10.1016/j.jjimei.2024.100271","https://www.sciencedirect.com/science/article/pii/S2667096824000600","Determining the size of the addressable market is a key aspect of market intelligence and requires identifying and delineating projected budget data from potential customers. The market intelligence arena is characterized by a wide range of disparate sources, many of which are unstructured, ranging across competitive, market, financial, and technology sources, and typically necessitating significant manual work to analyze, reconcile, and integrate. The authors present an approach for classification of data from one of these sources, facilitating aggregation and analysis of intelligence information. We describe a concept proof using machine learning that extends a model for automatic mapping of publicly available budget data to segments and subsegments of a market segmentation taxonomy. This approach automates the tagging of market and market segment for each program and cost element by training classification models on the manually labeled historical data. We describe the evaluation and use of multiple natural language processing (NLP) and classification modeling methods. This work's contribution is demonstrating how NLP and machine learning techniques can provide useful data classification and automatic classification even when source data diverges from its specified taxonomic description.","2024-11-01","2026-03-07 16:36:19","2026-03-07 16:36:19","2026-03-07 16:36:19","100271","","2","4","","International Journal of Information Management Data Insights","","","","","","","","","","","","","ScienceDirect","","","","/Users/szymon/Zotero/storage/JWJCRNG3/Stallings et al. - 2024 - How artificial intelligence can enable data classification for market sizing - Insights from applica.pdf; /Users/szymon/Zotero/storage/EWTSLIPA/S2667096824000600.html","","","Competitive intelligence; Information classification; Machine learning; Market intelligence; Market sizing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VC4PFER3","journalArticle","2026","Fodor, Szabina; Csáki, Csaba; Kő, Andrea","Beyond tickets and texts: Addressing challenges in AI-driven customer service","International Journal of Information Management Data Insights","","2667-0968","10.1016/j.jjimei.2026.100395","https://www.sciencedirect.com/science/article/pii/S266709682600008X","Adapting AI-driven solutions in customer services (CS) is becoming increasingly important to counter the combined impact of increased workload and management expectations. Addressing copious text volumes, text analytics (TA) assumes an important supporting role within CSs. However, the absence of TA and NLP application guidelines slows progress. Utilization of AI advancements in linguistically intricate languages and less digitally developed regions presents challenges. Using a systematic in-depth review of the literature and expert feedback, this study presents the TA/NLP landscape in the context of CS. The paper discusses challenges, open issues, and active research areas in TA/NLP, mainly in customer service, and validates its findings with a country example and industry experts. In addition to the theoretical and practical value of the AI-driven customer service landscape, a unique methodological approach, which includes AI-assisted content mining with BERTopic, systematic literature review, domain expert validation, and the example contributes to methodology development.","2026-06-01","2026-03-07 16:36:31","2026-03-07 16:36:31","2026-03-07 16:36:31","100395","","1","6","","International Journal of Information Management Data Insights","Beyond tickets and texts","","","","","","","","","","","","ScienceDirect","","","","/Users/szymon/Zotero/storage/8IRUAA2S/Fodor et al. - 2026 - Beyond tickets and texts Addressing challenges in AI-driven customer service.pdf; /Users/szymon/Zotero/storage/FZA4BXGY/S266709682600008X.html","","","Artificial intelligence; Customer service; Morphologically rich languages; Natural language processing; Text analytics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83PIF2HQ","journalArticle","2024","Wang, Angelina; Hertzmann, Aaron; Russakovsky, Olga","Benchmark suites instead of leaderboards for evaluating AI fairness","Patterns","","2666-3899","10.1016/j.patter.2024.101080","https://www.sciencedirect.com/science/article/pii/S2666389924002393","Benchmarks and leaderboards are commonly used to track the fairness impacts of artificial intelligence (AI) models. Many critics argue against this practice, since it incentivizes optimizing for metrics in an attempt to build the “most fair” AI model. However, this is an inherently impossible task since different applications have different considerations. While we agree with the critiques against leaderboards, we believe that the use of benchmarks can be reformed. Thus far, the critiques of leaderboards and benchmarks have become unhelpfully entangled. However, benchmarks, when not used for leaderboards, offer important tools for understanding a model. We advocate for collecting benchmarks into carefully curated “benchmark suites,” which can provide researchers and practitioners with tools for understanding the wide range of potential harms and trade-offs among different aspects of fairness. We describe the research needed to build these benchmark suites so that they can better assess different usage modalities, cover potential harms, and reflect diverse perspectives. By moving away from leaderboards and instead thoughtfully designing and compiling benchmark suites, we can better monitor and improve the fairness impacts of AI technology.","2024-11-08","2026-03-07 16:36:44","2026-03-07 16:36:44","2026-03-07 16:36:44","101080","","11","5","","Patterns","","","","","","","","","","","","","ScienceDirect","","","","/Users/szymon/Zotero/storage/GGLTESFD/Wang et al. - 2024 - Benchmark suites instead of leaderboards for evaluating AI fairness.pdf; /Users/szymon/Zotero/storage/NIDTLSH2/S2666389924002393.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEQXSDTS","journalArticle","2025","Kolt, Noam; Shur-Ofry, Michal; Cohen, Reuven","Lessons from complex systems science for AI governance","Patterns","","2666-3899","10.1016/j.patter.2025.101341","https://www.sciencedirect.com/science/article/pii/S2666389925001898","The study of complex adaptive systems, pioneered in physics, biology, and the social sciences, offers important lessons for artificial intelligence (AI) governance. Contemporary AI systems and the environments in which they operate exhibit many of the properties characteristic of complex systems, including nonlinear growth patterns, emergent phenomena, and cascading effects that can lead to catastrophic failures. Complex systems science can help illuminate the features of AI that pose central challenges for policymakers, such as feedback loops induced by training AI models on synthetic data and the interconnectedness between AI systems and critical infrastructure. Drawing on insights from other domains shaped by complex systems, including public health and climate change, we examine how efforts to govern AI are marked by deep uncertainty. To contend with this challenge, we propose three desiderata for designing a set of complexity-compatible AI governance principles comprised of early and scalable intervention, adaptive institutional design, and risk thresholds calibrated to trigger timely and effective regulatory responses.","2025-08-08","2026-03-07 16:36:56","2026-03-07 16:36:56","2026-03-07 16:36:56","101341","","8","6","","Patterns","","","","","","","","","","","","","ScienceDirect","","","","/Users/szymon/Zotero/storage/U4FL58CD/Kolt et al. - 2025 - Lessons from complex systems science for AI governance.pdf; /Users/szymon/Zotero/storage/R8AYYN75/S2666389925001898.html","","","cascading risks; complex adaptive systems; emergence; feedback loops; regulation and governance; scaling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B9XCTRCS","journalArticle","2022","Michaela Denise Gonzales, Reyes; Hargreaves, Carol Anne","How can we use artificial intelligence for stock recommendation and risk management? A proposed decision support system","International Journal of Information Management Data Insights","","2667-0968","10.1016/j.jjimei.2022.100130","https://www.sciencedirect.com/science/article/pii/S2667096822000738","Background Decision-making in the stock market is convoluted as it requires significant trading experience and knowledge. Faced with a huge range of stocks, investors in the stock market may be overwhelmed and daunted by the number of choices available on their plates. Financial institutions also face the problem of recommending stocks that cater to the investors’ trading strategies. Objective In this paper, we develop and explore three different approaches that can be used to build a stock recommender system that takes into account the investors’ needs and interests. Furthermore, to ensure the profitability of the recommended portfolios and to support the investors in making risk-informed decisions, we evaluate their Expected Returns and Value-at-Risks. Methods & Findings Hierarchical clustering was performed to better understand groups of traders that are similar in their needs and preferences and thus computational efficiency was improved. Three stock recommender systems, the K-Nearest Neighbour (kNN), Singular Value Decomposition (SVD) and Association Rule Mining (ARM) was explored and evaluated. Our short term, medium term and long term portfolios average rate of return was 4.15%, 10.24% and 23.17% respectively. Conclusion Our study demonstrates promising recommendation results that not only catered to the user's profile but also contributed to the portfolio profitabilities with minimal financial loss. Stock recommendations were beneficial to users when their preferences were considered.","2022-11-01","2026-03-07 16:37:09","2026-03-07 16:37:09","2026-03-07 16:37:09","100130","","2","2","","International Journal of Information Management Data Insights","How can we use artificial intelligence for stock recommendation and risk management?","","","","","","","","","","","","ScienceDirect","","","","/Users/szymon/Zotero/storage/7H52BUEL/Michaela Denise Gonzales and Hargreaves - 2022 - How can we use artificial intelligence for stock recommendation and risk management A proposed deci.pdf; /Users/szymon/Zotero/storage/ETCWN8E6/S2667096822000738.html","","","Association rule mining; Collaborative filtering; Recommender system; Singular value decomposition; Value-at-risk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7873D5Z6","journalArticle","2025","Flyckt, Jonatan; Gorschek, Tony; Mendez, Daniel; Lavesson, Niklas","Identifying key AI challenges in make-to-order manufacturing organisations: A multiple case study","Journal of Systems and Software","","0164-1212","10.1016/j.jss.2025.112559","https://www.sciencedirect.com/science/article/pii/S0164121225002286","Artificial Intelligence can make manufacturing organisations more effective and efficient, but it is not clear which AI tasks hold the greatest potential. Make-to-order manufacturers must constantly adapt to customers’ unique and rapidly changing needs, and therefore have different challenges than make-to-stock manufacturers. Our ambition is to develop an AI-enabled software system to support manufacturing organisations in improving their processes. To this end, we first seek to understand the data and technology requirements for key AI-enabled tasks in a make-to-order setting and determine the level of performance and explainability needed to address them. We perform a multiple case study of five make-to-order packaging manufacturers, interviewing personnel from sales, production, and supply chain to identify and prioritise operational challenges suitable for AI approaches. Demand forecasting emerges as the most important task, followed by predictive maintenance, quality inspection, complex decision risk estimation, and production planning. Participants emphasise the importance of explainable techniques to ensure trust in the systems. The results highlight a need for a greater control of the production process and a better understanding of customer needs. Although most of the tasks could be solved with current techniques, some, such as intermittent demand forecasting and complex decision risk estimation, would require further development. The study clarifies the potential of AI-enabled systems in make-to-order manufacturing and outlines the steps required to realise it.","2025-12-01","2026-03-07 16:37:19","2026-03-07 16:37:19","2026-03-07 16:37:19","112559","","","230","","Journal of Systems and Software","Identifying key AI challenges in make-to-order manufacturing organisations","","","","","","","","","","","","ScienceDirect","","","","/Users/szymon/Zotero/storage/PISF6MK5/Flyckt et al. - 2025 - Identifying key AI challenges in make-to-order manufacturing organisations A multiple case study.pdf; /Users/szymon/Zotero/storage/5BC8ID6D/S0164121225002286.html","","","Artificial intelligence; Data requirements; Make-to-order; Manufacturing; Multiple case study","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
