"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6HQ4W83H","journalArticle","2026","Xiao, Zheng; Harun, Afdallyna","AI integration and employment in construction: Exploring positive and destructive effects through a PLS-SEM lenss","International Journal of Data and Network Science","","25618148, 25618156","10.5267/j.ijdns.2025.10.015","https://www.growingscience.com/ijds/Vol10/ijdns_2025_58.pdf","This research examines how artificial intelligence (AI) integration has affected employment in China’s construction industry. This research builds on the theories of skill-biased technological change and creative destruction to study how AI influences both positive and negative employment effects that later influence overall employment. The report confirms, based on the survey data and by using PLS-SEM, that AI introduction results in both job growth and job losses for managerial-level employees. In addition, whether an organization is ready greatly affects how these relationships play out, improving good outcomes and reducing the bad ones. It is clear from the findings that preparing a strategy helps make the most of AI and alleviate its risks. The study contributes to a more detailed view of AI’s effects on jobs and supplies ideas for sustaining both innovation and employment.","2026","2026-03-03 20:53:40","2026-03-03 20:53:40","2026-03-03 20:53:40","27-36","","1","10","","10.5267/j.ijdns","AI integration and employment in construction","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/szymon/Zotero/storage/WLT4TMGM/Xiao and Harun - 2026 - AI integration and employment in construction Exploring positive and destructive effects through a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NTRWRPE7","journalArticle","2026","Kai, Cao; Ping, Wang; Xiaomin, Jiang","AI anxiety and adoption intention in higher education based on an extended TAM-UTAUT and PLS-SEM analysis","Scientific Reports","","2045-2322","10.1038/s41598-026-35823-9","https://www.nature.com/articles/s41598-026-35823-9","This study aims to deconstruct the complex relationship between artificial intelligence anxiety and generative AI adoption intention in the context of higher education. An extended analytical framework is constructed by integrating the Technology Acceptance Model (TAM) and the Unified Theory of Acceptance and Use of Technology (UTAUT). Taking faculty and students from three universities in Sichuan Province as the research objects, data are collected through a questionnaire survey, and empirical research is conducted using the Partial Least Squares Structural Equation Modeling (PLS-SEM). Focusing on three dimensions of AI anxiety—AI learning anxiety, AI sociotechnical blindness anxiety, and AI job displacement anxiety—the study systematically examines their indirect impact paths on adoption intention through mediating variables such as performance expectancy and effort expectancy, and investigates the moderating effects of disciplinary background and AI self-efficacy. The findings reveal that AI anxiety exhibits a significant “double-edged sword” effect on generative AI adoption intention: AI job displacement anxiety comprehensively inhibits the core variables of technology acceptance; in contrast, AI sociotechnical blindness anxiety not only positively promotes effort expectancy and adoption intention but also negatively affects performance expectancy. In the technology acceptance mechanism, effort expectancy and social influence are the factors driving adoption intention, while disciplinary background and AI self-efficacy regulate the transmission paths of anxiety by shaping cognitive paradigms and psychological resources. The theoretical value of this study lies in breaking through the simplistic inhibition hypothesis of emotional factors in technology acceptance research. Practically, it provides empirical evidence for higher education institutions to formulate differentiated AI training strategies.","2026-01-16","2026-03-03 20:54:33","2026-03-03 20:54:33","2026-03-03 20:54:33","3672","","1","16","","Sci Rep","","","","","","Nature Publishing Group","","en","2026 The Author(s)","","","","www.nature.com","","","","/Users/szymon/Zotero/storage/W6ZZXLLE/Kai et al. - 2026 - AI anxiety and adoption intention in higher education based on an extended TAM-UTAUT and PLS-SEM ana.pdf","","","Education; Psychology; Science; technology and society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HKGMMBM9","journalArticle","2026","Durmaz, Şerife; Çivilidağ, Aydın","Artificial intelligence (AI) and flexible work arrangements: A bibliometric analysis with a systematic review","Multidisciplinary Reviews","","2595-3982","10.31893/multirev.2026389","https://malque.pub/ojs/index.php/mr/article/view/13337","Artificial intelligence (AI) is a new technology developed through computer science. Today, artificial intelligence is starting to impact every aspect of human life, as well as business operations. In this research, artificial intelligence and flexible work arrangements were analysed using a bibliometric approach through a systematic review method. All article data related to “artificial intelligence” and “flexible work arrangements” in the Web of Science database were searched with a limitation to fields included in the social sciences. Although no year limitation was used in the research, the first article meeting the research criteria was published in 2014. The data for this research consisted of 60 articles conducted between 2014 and 2025. The selected dataset was analysed via Biblioshiny in the Bibliometrix R package. According to the results obtained, the main findings indicate a 23.28% annual increase in the number of articles related to concepts, a total of 320 author keywords, an average of 14.08 citations, and 25% of authors participating in international collaborations. The field with the highest number of articles in the dataset is management. The leading country is the USA. Sixty articles have been published in 55 different journals. Among institutions, the leading one is the Harvard Business School. In terms of thematic evolution, the keywords “remote work,” “artificial intelligence,” “coronavirus,” and “digitalization” are the primary themes. In the historiographic analysis, three different paths were observed. Twenty-five percent of the publications in the dataset involve international collaboration, and an average of 14 citations per publication indicates international interest in the concept. This study provides a current and comprehensive overview of research on “artificial intelligence” and “flexible work arrangements,” offering original and up-to-date information on the general trends and current standing of the field. This research contributes to the literature and provides valuable insights and a foundation for future studies.","2026-01-21","2026-03-03 20:55:13","2026-03-03 20:55:13","2026-03-03 20:55:13","2026389-2026389","","8","9","","","Artificial intelligence (AI) and flexible work arrangements","","","","","","","en","","","","","malque.pub","","","","/Users/szymon/Zotero/storage/2ZZPX8D6/Durmaz and Çivilidağ - 2026 - Artificial intelligence (AI) and flexible work arrangements A bibliometric analysis with a systemat.pdf","","","digital transformation; future of work; labor relations; remote work; systematic review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9YFSRKN7","journalArticle","2026","Guevara-Ramirez, Willmer; Martinez-de-Alegria, Itziar; Caballero-Zepeda, Carlos-Gustavo; Salinas-Astudillo, Cristian-Israel","Characterization of the artificial intelligence labor market in Chile: An approach based on unstructured data and the ESCO taxonomy","International Journal of Information Management Data Insights","","2667-0968","10.1016/j.jjimei.2026.100401","https://www.sciencedirect.com/science/article/pii/S2667096826000145","This study characterizes the labor demand related to artificial intelligence (AI) in Chile to identify the skills and requirements sought by employers. Using unstructured data from online job postings collected from major employment platforms, AI-related vacancies are identified and analyzed through a skills-based approach aligned with the European Skills, Competences, Qualifications, and Occupations (ESCO) taxonomy. The results show that demand is primarily oriented towards technical skills, while soft skills play a complementary and transversal role, with teamwork being the most recurrent. AI-related job demand is concentrated in high-skilled occupations and specialized professional profiles, while patterns observed in the data are consistent with skill-biased and routine-biased technological change hypotheses. The identified skill structure highlights the relevance of advanced digital competencies for emerging AI occupations and provides a basis for updating training programs. Overall, the findings offer empirical evidence on the early diffusion of AI-related jobs demand in Chile and contribute to the discussion on skills development and labor market adaptation in emerging economies.","2026-06-01","2026-03-03 20:55:39","2026-03-03 20:55:39","2026-03-03 20:55:39","100401","","1","6","","International Journal of Information Management Data Insights","Characterization of the artificial intelligence labor market in Chile","","","","","","","","","","","","ScienceDirect","","","","/Users/szymon/Zotero/storage/7Y9M5J9E/Guevara-Ramirez et al. - 2026 - Characterization of the artificial intelligence labor market in Chile An approach based on unstruct.pdf; /Users/szymon/Zotero/storage/DTZNULK4/S2667096826000145.html","","","Artificial intelligence (AI); Job displacement; Labor market; Machine learning (ML); Online job vacancies; Skill; Training policy; Unstructured data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y4X294V7","journalArticle","2026","Jaturat, Nutt; Na-Nan, Khahan; Hu, Bowei","Measuring AI responsibility: A cross-country validation of a multidimensional framework","International Journal of Information Management Data Insights","","2667-0968","10.1016/j.jjimei.2026.100388","https://www.sciencedirect.com/science/article/pii/S2667096826000017","As artificial intelligence (AI) continues to transform industries, ensuring AI responsibility has become critical for ethical governance. Despite the growing number of frameworks emphasizing transparency, accountability, and sustainability, a standardized measurement tool remains lacking. This study develops and validates a seven-dimensional AI Responsibility framework encompassing Privacy and Security, Transparency and Accountability, Impact on Employment, Sustainability, User-Centered Design, Social Impact, and Innovation and Adaptation. Using Exploratory Factor Analysis (EFA) and Confirmatory Factor Analysis (CFA), the study confirms the framework’s construct validity and reliability. The results indicate strong model fit, with all constructs exceeding recommended thresholds for composite reliability (CR) and average variance extracted (AVE). The study contributes to AI ethics research by offering an empirically validated measurement instrument. Practically, the framework serves as a benchmarking tool for organizations and policymakers to assess AI governance strategies and regulatory compliance. As AI adoption continues to expand, this framework provides a structured approach to fostering trust, accountability, and responsible AI deployment.","2026-06-01","2026-03-03 20:56:07","2026-03-03 20:56:07","2026-03-03 20:56:07","100388","","1","6","","International Journal of Information Management Data Insights","Measuring AI responsibility","","","","","","","","","","","","ScienceDirect","","","","/Users/szymon/Zotero/storage/DE23KXAA/Jaturat et al. - 2026 - Measuring AI responsibility A cross-country validation of a multidimensional framework.pdf; /Users/szymon/Zotero/storage/RKB65HI8/S2667096826000017.html","","","Accountability; Ai governance; Ai responsibility; ethical AI; innovation; sustainability; Transparency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EHRVU9KS","journalArticle","2026","Choi, Sungwoo; Yeon, Jihwan","Unintended prosocial consequences of robot prevalence: The mediating role of realistic threat","International Journal of Hospitality Management","","0278-4319","10.1016/j.ijhm.2026.104602","https://www.sciencedirect.com/science/article/pii/S0278431926000496","With the growing shift to service automation in the hospitality industry, robot prevalence is on the rise. Drawing on the intergroup threat theory and terror management theory, we argue that as service robots become more prevalent, consumers may become prosocial in response to a realistic threat. Additionally, we theorize that these effects will be salient among those who are employed, especially those who use artificial intelligence or robots at work. The results of four experimental studies support our hypotheses. Our findings provide practical insight into how companies can leverage such behavioral shifts among consumers to maximize the effectiveness of their prosocial initiatives.","2026-04-01","2026-03-03 20:56:25","2026-03-03 20:56:25","2026-03-03 20:56:25","104602","","","134","","International Journal of Hospitality Management","Unintended prosocial consequences of robot prevalence","","","","","","","","","","","","ScienceDirect","","","","/Users/szymon/Zotero/storage/YB2PQEB4/Choi and Yeon - 2026 - Unintended prosocial consequences of robot prevalence The mediating role of realistic threat.pdf; /Users/szymon/Zotero/storage/E4J3KVW5/S0278431926000496.html","","","Experimental studies; Prosocial behavior; Realistic threat; Robot workforce; Service robots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SDVQ2JBC","journalArticle","2026","Schulz, Felix; Valizade, Danat; Stuart, Mark; Soffia, Magdalena; Skordis, Jolene","Artificial Intelligence Technologies and Employee Pay in the United Kingdom: Evidence From Matched Employer–Employee Data","British Journal of Industrial Relations","","1467-8543","10.1111/bjir.70019","https://onlinelibrary.wiley.com/doi/abs/10.1111/bjir.70019","This paper examines the impact of artificial intelligence (AI)-enabled technologies on employee pay in the United Kingdom. We use matched nationally representative data from the Employers’ Digital Practices at Work Survey and an original survey of 6000 UK workers and apply machine learning techniques to uncover relationships between AI technology and employee pay across qualification and occupation skill groups. We find that lower skilled workers were the primary beneficiaries of AI, but this effect was contingent on the extent of worker interaction with AI. Further analysis shows that employee involvement in pay determination facilitates a more equitable distribution of AI-related pay benefits by enabling a significant uplift in pay among lower qualified workers. Overall, while the implications of AI for pay outcomes are broadly positive, the study highlights the need to strengthen workplace voice mechanisms to ensure a more equitable distribution of benefits from the growing use of AI.","2026","2026-03-03 20:56:56","2026-03-03 20:56:56","2026-03-03 20:56:56","116-129","","1","64","","","Artificial Intelligence Technologies and Employee Pay in the United Kingdom","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/bjir.70019","","/Users/szymon/Zotero/storage/TE24Z6KI/Schulz et al. - 2026 - Artificial Intelligence Technologies and Employee Pay in the United Kingdom Evidence From Matched E.pdf; /Users/szymon/Zotero/storage/45CJHCAC/bjir.html","","","artificial intelligence; employee voice; machine learning; pay","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VEKH9USZ","journalArticle","2026","Bhoumik, Kshitij; Fang, Linhao; Igarashi, Reika","Robots with hearts: How in-store AI’s task types impact brand attitude and ethicality","Journal of Business Research","","0148-2963","10.1016/j.jbusres.2025.115923","https://www.sciencedirect.com/science/article/pii/S0148296325007465","Recent advancements in robotics and conversational Artificial Intelligence (AI) have expanded their capability to handle complex customer interactions. As businesses integrate robots for consumer encounters, they must decide how to allocate tasks between in-store AI and human employees. While previous research has examined consumer responses to AI, limited attention has been given to how different task distributions influence consumer attitudes. Through four experimental studies, we demonstrate that assigning empathetic (vs. mechanical) tasks to in-store AI while relegating mechanical (vs. empathetic) tasks to human service employees leads to diminished brand attitudes and negative perceptions of brand ethicality. Furthermore, the impact of AI task type on brand attitude is amplified for small brands, indicating a moderating role of brand size. Our findings highlight an intricate ethical dilemma: despite AI’s growing capabilities to automate socioemotional tasks, this can be perceived as ethically problematic compared to automating chores that frees human labor.","2026-03-01","2026-03-03 20:57:04","2026-03-03 20:57:04","2026-03-03 20:57:04","115923","","","206","","Journal of Business Research","Robots with hearts","","","","","","","","","","","","ScienceDirect","","","","/Users/szymon/Zotero/storage/65UBL3EQ/Bhoumik et al. - 2026 - Robots with hearts How in-store AI’s task types impact brand attitude and ethicality.pdf; /Users/szymon/Zotero/storage/QJQF646U/S0148296325007465.html","","","AI task allocation; Artificial intelligence; Brand perceptions; Human-AI collaboration; Perceived ethicality; Service robotics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LZGC98MT","journalArticle","2026","Bankins, Sarah; Weaver, Andrew; Marrone, Mauricio; Restubog, Simon Lloyd D.; Woo, Sang Eun","Artificial intelligence at work: A phenomenon-based interdisciplinary review and groundwork for multilevel scholarship","Information & Management","","0378-7206","10.1016/j.im.2025.104272","https://www.sciencedirect.com/science/article/pii/S0378720625001752","The implications of artificial intelligence (AI) for work are significant and diverse, yet our understanding of its drivers remains siloed. This is partly due to a fragmented understanding of the AI phenomenon, its examination across diverse disciplines, and the contingent nature of its effects. We aim to help address these issues via two objectives. First, we explore the landscape of research by systematically reviewing how organizational science subdisciplines studying AI conceptualize, characterize, and investigate AI at work and then evaluate how this scholarship clarifies and contextualizes the phenomenon. By examining indicators of these dimensions, we identify distinct clusters of research that represent what we label as ""application-orientation"" and ""generalized-orientation"" categories. Comparatively, application-orientation research was the most likely to either define AI’s capabilities concretely or to situate their assessments within a specific function or industry, was less likely to characterize AI as a radically or wholly new and disruptive technology, less likely to contain claims regarding widespread technological unemployment resulting from AI, and less likely to focus on the negative (compared to the positive) outcomes of AI use for workers. Comparatively, generalized-orientation research was less likely to reference AI’s concrete capabilities or situate their analyses in a specific industry context, tended to be less empirical, and was more likely to position AI as radically disruptive or to focus on negative worker outcomes. Second, we seek to add to this research landscape by proposing an illustrative, interdisciplinary multilevel framework that suggests pathways toward balanced, multilevel assessments of the phenomenon.","2026-03-01","2026-03-03 20:57:24","2026-03-03 20:57:24","2026-03-03 20:57:24","104272","","2","63","","Information & Management","Artificial intelligence at work","","","","","","","","","","","","ScienceDirect","","","","/Users/szymon/Zotero/storage/J49EJEMF/Bankins et al. - 2026 - Artificial intelligence at work A phenomenon-based interdisciplinary review and groundwork for mult.pdf; /Users/szymon/Zotero/storage/TGKGP8DY/S0378720625001752.html","","","Artificial intelligence; Artificial intelligence and work; Future of work; Multilevel research; Technology; Technology and work","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4DVWIU6C","journalArticle","2026","Chalmers, Dominic; Hunt, Richard ‘Rick’; Pachidi, Stella; Potočnik, Kristina; Townsend, David","The Acceleration of Artificial Intelligence: Rethinking Organization and Work in an Era of Rapid Technological Change","Journal of Management Studies","","1467-6486","10.1111/joms.70063","https://onlinelibrary.wiley.com/doi/abs/10.1111/joms.70063","Artificial intelligence (AI) is transforming the epistemic, interactional, and institutional foundations of contemporary organizations, yet management and organization studies are only beginning to theorise the implications of this shift. Existing research often treats “AI” as a singular construct, despite the fact that predictive, generative, agentic, and embodied systems rely on different logics and produce distinct organizational outcomes. This article interrogates the limits of this conceptual flattening and argues that cumulative theorising requires more precise specification of the technological systems under study. Drawing on developments across the field, we demonstrate how different modes of AI reshape core organizational constructs, including expertise, judgement, coordination, authority, and institutional adaptation. We advance a heuristic framework that differentiates among contemporary AI systems and clarifies their distinct affordances. The article concludes by outlining a research agenda that focusses on the shifting loci of agency, new decision architectures, and the normative and institutional challenges introduced by increasingly powerful AI systems.","2026","2026-03-03 20:57:41","2026-03-03 20:57:41","2026-03-03 20:57:41","285-314","","2","63","","","The Acceleration of Artificial Intelligence","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/joms.70063","","/Users/szymon/Zotero/storage/WKT35JG2/Chalmers et al. - 2026 - The Acceleration of Artificial Intelligence Rethinking Organization and Work in an Era of Rapid Tec.pdf; /Users/szymon/Zotero/storage/BGX7TLGQ/joms.html","","","artificial intelligence; entrepreneurship; future of work; labour; strategy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
